condition,review_body,rating,sentiment
Birth Control,mirena month howev far good insert not pain expect mayb ob insert period state easi insert afterward littl cramp noth major downfal month bleed often first week no spot second week spot third week spot littl think period yet week hate bleed,8.0,Positive
Insomnia,endep mg week insomnia although help sleep longer take dopier get day feel like perman sedat like brain shrink head full cotton wool day no motiv anyth,1.0,Negative
Birth Control,got nexplanon month ago constant bleed whole time guess consid effect birth control sinc much sex these past month due consist bleed day might not bleed follow week constant spot also notic sex becam bit pain month nexplanon lbs small size may reason bodi react way honest wouldnt reccomend form birth control,3.0,Negative
Bacterial Vaginitis,th day day cours tab day thank god almost experi symptom get wors cours goe tired worst two small children keep feel space shakey weak scari felt may pass occas eat usual tri combat seem work plus side work pretti sure bv gone tempt throw away last two take realli want go,6.0,Neutral
Migraine,live brain tumor suffer year blind migrain singl thing rid migrain relay pain intens bedridden use pill per year usual alway work exederin not no nausea vomit like expens migrain call wonder medicin no bad drowsi either god send pain found noth els compar,10.0,Positive
Seizures,lay read final realiz med not yrs old becom epilept til yrs ago start dilantin allerg switch keppra least episod everi mths lost mother caus seizur realli spiral control least aura seizur daili ad vimpat treatment alway uneasi troubl sleep crazi dream like tick time bomb readi snap someon simplest thing smh no patienc caus seek mental therapi twice wk case user not inform narcot take like not,5.0,Neutral
5</span> users found this comment helpful.,not sure not terribl experi pill even finish first pack quit take got terribl migrain everi singl day would make sick stomach also made complet crazi smallest thing would set day stop take pill migrain disappear mood back check,1.0,Negative
23</span> users found this comment helpful.,well took silenor mg twice past day say work well notic differ qualiti sleep feel well rest next day keep handi problem sleep night,10.0,Positive
Neuropathic Pain,work well draw back weight gain,10.0,Positive
Birth Control,week take woke n middl night nauseous ever broke rash arm follow morn super dizzi felt like pass went nurs right switch vienna much better far except littl breakthrough bleed rather experienc,2.0,Negative
Ovarian Cysts,start bc one main reason ovarian cyst work great five month no pain cyst entir time also work great prevent pregnanc no issu except one gain least lbs month usual fluctuat lbs no well start bc appetit teenag boy eat non stop sure weight control dedic strict diet though got bc two week ago alreadi lost lbs reason chose get weight gain trade cyst,8.0,Positive
Pain,h gave not work take mg ibuprofen start hurt kidney,2.0,Negative
Birth Control,trinessa month fantast start pill pain period would bed cri day took month pill realli take effect notic big chang much pain experienc could make day school take midol morn period last no longer day schedul painless gain littl weight skin most clear even right start period miss two pill month take say over worri high recommend pill pain birth control,10.0,Positive
Menstrual Disorders,taken pill week took know not insur switch pill mani negat effect first starv everi hour even eat big meal starv eat feel weak shaki second bloat time realli uncomfort third toward end week start feel realli tire no reason even though good night sleep would sudden feel faint could bare keep eye open also th day felt heavi chest cannot good go see switch back one gianvi not recommend,2.0,Negative
Birth Control,got skyla put septemb mani cramp mine went away dat two sinc problem period gotten lighter month pass still get period get week heavi day day light bonus get period month get cramp near much anymor mayb twice month everi feel like feel insid weird last minut get skyla one need replac love,9.0,Positive
Pain,stuff great nerv pain herniat disc lower back neck along pinch nerv take away neck pain narcot pain reliev muscl relax combin take alon caus drowsi,9.0,Positive
Strep Throat,dr thought strep look throat felt like swallow glass got mg amoxicillin x day within hrs could swallow fever went away howev day medic pretti bad nausea rage yeast infect frequent loos stool abdomin cramp pretti bad start take probiot yogurt immedi not play around,6.0,Neutral
Birth Control,nd implanon insert within week remov st period complet stop didnt experi side effect weight fluctuat kg whilst first one time complet opposit start get period everi second week much darker potent constant bleed small amount constant small amount feel like leak faucet alway cramp intens crave origin start inplanon could spontan sex partner not worri get pregnant even pre plan sex not wait remov,4.0,Negative
Rosacea,use week first day notic consider differ size pore tend oili skin bonus medic seem decreas oil product keep use,8.0,Positive
Social Anxiety Disorde,month mg never lot side effect bit sleep prob first month social anxieti gotten much much better depress well,8.0,Positive
Vaginal Yeast Infection,worst pain life cri uncontrol right recommend,1.0,Negative
Influenza,use tamiflu influenza made world differ sick could bare get bed take care toddler also influenza day medic felt better influenza much serious virus ever thought thank good antivir,9.0,Positive
Major Depressive Disorde,start day ago bought diarhea noth major not give went straight wellbutrin xl zoloft no reaction anybodi els diarhea hope disappear,8.0,Positive
Insomnia,work abil diminish use time get sleep everi singl time take drug alway take pill lot say sleep drug ever taken downsid go sleep soon feel kick strang thing slight rememb rememb,8.0,Positive
Rheumatoid Arthritis,tramadol work well time sweat realli bad go walmart come store soak wet still take need also make itch not sever enough bother hydrocodon break rash guess buy counter medicin hope best not want go narcot,8.0,Positive
Nasal Congestion,plug ear sinus congest two week took two dose everi four hour two tablet congest final clear realiz would make sleepless jitteri night jitteri morn no appetit mild nausea next time would start one tablet see help make sure plenti time go sleep,9.0,Positive
Anxiety,hi name jess anxieti panic attack depress year anxieti bad homeschool taken prozac paxil neither work bad mood swing paxil doctor suggest someth newer effexor said good result tri heck would tri anyth make anxieti go away effexor mg year work no side effect except tire first no anxieti panic attack depress mayb short episod happi enjoy thing held back mani year effexor chang life liter miss dose felt tire depress zap,9.0,Positive
Weight Loss,month old tri everyth get babi lbs weigh lbs got pregnant lbs start medic tri weight watcher mani thing phentermin littl week lost pound truli miracl found take vitamin b boost ur energi level extrem,10.0,Positive
"Constipation, Chronic",actual cigna cover unit health care cover unless irrit bowel syndrom idiopath constip constip chronic opioid use use year twice day go tri lactulos pill much conveni work without side effect prior counter senna help cramp side effect time recommend amount work,10.0,Positive
High Blood Pressure,year old male take mg week blood pressur gone feel much better happi far no side effect awar,10.0,Positive
Sinusitis,wrote yesterday updat doc advis stop take clarithromycin took one mg last night experi aw tast mouth vomit lower back pain ach sever stomach pain couldnt sleep dizzi sever anxieti dull heavi headach similar hang dri mouth one tablet medic evil take extrem caution peopl good luck x,1.0,Negative
Erectile Dysfunction,excel result first tri remov year disappoint diabet use needl not new unsur locat possibl error easi accur without side effect,10.0,Positive
"Hypogonadism, Male",smell terribl wife complain even hour afterward,2.0,Negative
Depression,start let tell first week hell side effect aw first week worst rd th came close stop medic th week side effect got less less everyday sudden somewher around th week woke felt like santa claus steroid depress gone better self even better depress hit year everi antidepress book turn couch potato junki no motiv no energi almost lost job went doctor put prozac save life,10.0,Positive
Persistent Depressive Disorde,fevarin fluvoxamin mg mg time sleep mg morn associ mg amisulprid solian midora not chang effect sleep well anxiar gr taken pm work great sleep dystimia anorexigen effect also lost kgs two month no diet also took ptsd effect bodi cognit relax appear increas mgs fluvoxamin,10.0,Positive
Weight Loss,whole point belviq suppos suppress one appetit cours realli lose weight everyth wrote factor miss point mani review belviq not suppress appetit like oh make eat etc said belviq day take mg x day not notic decreas appetit still hungri pm bummer no side effect either start lbs wish appetit would relax could say oh make eat also print coupon belviq com paid instead,2.0,Negative
High Blood Pressure,noth bp caus ankl feet swell lot thought gain weight happili nope fluid retent caus amlodipin not great fluid retent make bp rise,1.0,Negative
High Blood Pressure,drug perhap effect reduc systol diastol blood pressur creat serious advers effect user case ish femal long term borderlin hypertens gradual increas develop male pattern hair loss part visibl look bright white no longer enough follicl fill part small hair hairlin gone number hair import scalp creat full time month notic complet lack sexual interest blunt respons less want attribut age tell man report interest respons return within week discontinu,2.0,Negative
Weight Loss,start take belviq two week ago first took one pill day week two move two pill day prescrib lost lbs two week take pill direct twice day maintain calori intak also made sure drink least oz water day cut soda throughout week faith reach weightloss goal,7.0,Neutral
Acne,know everyon differ bc realli help acn right away one small pimpl awhil no big deal love bc,9.0,Positive
Weight Loss,word caution anyon histori depress anxieti experienc realli scari side effect three week tri qsymia includ suicid thought histori mild anxieti depress experienc sever symptom drug includ panic attack restless troubl sleep extrem sad taper med bmi histori pcos doctor prescrib not given histori depress without serious warn potenti scari side effect good luck tri work,1.0,Negative
Bipolar Disorde,year old guy went fanapt month ago bipolar disord pretti sure help function colleg calm stabil mood one problem demolish sexual function complet lost abil ejacul could rare get keep erect signific less sex drive talk psychiatrist go fanapt soon think worth sexual side effect,7.0,Neutral
Birth Control,tri birth control method nexplanon work nexplanon month insert insert process easi quick painless although left sizabl bruis explain away acquaint cowork period got inject day period period spot sinc awesom even better no cramp acn mild acn seen chang better wors libido libido decreas first got nexplanon back origin level unlik pill increas head ach first month no side affect report,10.0,Positive
Supraventricular Tachycardia,not like medicin gain lot weight runni nose tire time bad crazi dream,3.0,Negative
Seizure Prevention,seizur juli oct nov neurologist put lamotrigin er mg day sinc no seizur no negat side effect like,9.0,Positive
Erectile Dysfunction,doctor gave sampl due recent ed issu tri last night wow work better expect say not daili use minim side effect like headach stuffi nose morn posit effect last least hour hope insur cover,9.0,Positive
Migraine Prevention,take mg topamax bed daili prevent migrain aura take almost month aura migrain sinc start take love medicin side effect notic far tingl feet sometim far not bad one thing bothersom medicin birth control bill less effect recommend use differ form birth control iud think go tri,10.0,Positive
Obesity,sinc start contrav month ago lost pound minor side effect start fatigu constip irrit bodi got use medicin side effect ceas,9.0,Positive
Pain,work well foot poor circul due diabet experienc extrem burn pain prickl sensat top entir foot,8.0,Positive
Bipolar Disorde,calm sometim sex life not help sleep still daili up down lighter not gone never know day still thought not gone,4.0,Negative
Rheumatoid Arthritis,would never take drug would encourag never take drug side effect terribl,1.0,Negative
Osteoarthritis,tri celebex drug releiv joint pain ankl knee wrist finger littl relief day arthrotec day almost good new abl work treadmil take long hike write type mayb best part not wake night pain finger accid also found take one pill ever day suffient,10.0,Positive
Depression,doctor switch viibryd due weight gain lexapro tell viibryd suppos consid weight neutral start first coupl month mg dose littl effect anxieti lexapro effect deal back last month dosag increas mg far work well no depress nor anxieti dose addit sex drive back sexual side effect gone howev gotta say caus upset stomach pretti often well diarrhea,9.0,Positive
Acne,acn period right schedul start take pill year stop use middl time took realli help period great skin though not sure mean still get zit not realli aw zit still bad zit time though might chocol eat get rid overal bad pill side effect realli bother mood swing tend cri stupid reason argu mom might teenag year yeah awar side effect,5.0,Neutral
Acne,help adult acn no side effect,9.0,Positive
Pain,suffer atyp trigemin neuralgia wisdom tooth remov dose tramadol tapentadol year no develop toler limit gastrointestin side effect excel regimen excel doctor,9.0,Positive
Generalized Anxiety Disorde,help clear foggi mind,9.0,Positive
Birth Control,yo no babi pregnanc sensit hormon pill made almost suicid doc suggest ring first month went ok second month develop horribl yeast infect day insert took diflucan symptom seem resid next month thing day insert horribl yeast infect took diflucan not clear doc recommend monistat work better tri even partner get test make sure carri monistat not clear either terribl pain burn final took nuvar earli symptom went away almost immedi,1.0,Negative
Depression,along celexa mg week take mg wellbutrin mg methadon sever back surgeri live chronic pain along improv depress anxieti notic appetit decreas no weight gain mayb lost coupl pound notic improv first coupl day tri prozac welbutrin individu togeth not much help recommend give celexa tri medicin,10.0,Positive
Bipolar Disorde,month function although lose weight tri risperidon realli hope work want mental sound bi polar panic anxieti disord,3.0,Negative
Herpes Simplex,cold sore lip soon went away two other pop bad miser final went got abreva day six use medicin cold sore alreadi gone would went away much sooner wait long get medicin expens definit worth price recommend abreva anyon cold sore not regret,8.0,Positive
Endometriosis,start seasoniqu septemb last year first month pack work awesom acn clear cramp endometriosi diminish period month no break bleed spot howev week second pack start spot week bleed like regular menstrual cycl also cramp becam sever develop tremend pain lower back bleed past week sinc first notic spot cramp come back full forc read review websit feel littl better suppos case rare extrem reaction seen anyth close comparison,3.0,Negative
Head Lice,head itch like crazi huge red rash back head went dermatologist find sourc turn head lice realli bad case derm recommend ovid appli second got home within minut appli almost lous bug lie bathroom counter dead smell strong threw also eaten day total worth,10.0,Positive
0</span> users found this comment helpful.,birth control get rid cramp make time month much pleasant almost year thing experi dri everi easi fix bleed much never think twice condom,9.0,Positive
ADHD,hey seen peopl mention cost strattera insur copay still actual got onlin googl strattera discount card pharmaci let use top insur prescript end free still get discount price month pretti stoke,10.0,Positive
High Blood Pressure,got tire dizzi drug got bad cough unusu sweat,3.0,Negative
Post Traumatic Stress Disorde,paxil ptsd social anxieti depress work wonder issu howev ran weekend wait monday see doctor get prescript fill problem paxil leav bodi hour hour last dose terribl withdraw kick felt angri absolut no reason got readi morn broke hair dryer straighten brush wait doctor offic felt like go scream cri assault random peopl wait room paxil withdraw like none normal low point usual feel sad extrem anxious around peopl,7.0,Neutral
Alcohol Dependence,alcohol year drink pint cider two bottl wine per night went priori twice second occas went put antabus went priori gamma gt came gamma gt unfortun one peopl sever side affect tablet desper tri someth els eventu prescrib campral medic almost two month no crave alcohol surpris walk past pub go dinner without strong need bottl wine two,10.0,Positive
Anesthesia,went endoscopi colonoscopi procedur went well woke uncontrol cri realli realli aw poor husband know nurs told happen patient younger patient would go away would like warn ahead time could happen good news pass half hour made never want use drug past versad sp great result worri go think would,2.0,Negative
ADHD,year old son diagnos adhd age not start medic st grade glad final current take vyvans read materi fish oil brain function specif adhd son come home school medic effect diminish tend get emot irrit happen give fish oil capsul within hour usual calm return focus better use nordic natur omega junior mg epa mg dha capsul lemon flavor small easi child swallow,8.0,Positive
Depression,cymbalta month must say work pretti good feel normal no extrem up down feel zombi medic use realli bad night sweat notic eat much much less use good becuas seroquil lexapro gain lot weight tri lose overal good medicin would encourag anyon least give tri real drawback point copay sinc not insur plan prefer drug list,9.0,Positive
ibromyalgia,medicin work miracl need,10.0,Positive
Migraine Prevention,work extrem well prevent migrain,9.0,Positive
Anxiety and Stress,prozac mg chang life one day time love,10.0,Positive
Anxiety and Stress,general anxieti disord year old male paxil help anxieti howev made thing seem dull thing use enjoy becam bore stop take month start effexor xr no side effect,5.0,Neutral
Bacterial Infection,allerg everi antibiot z pack pretti good take care sinus infect get without mani side effect littl bit upset stomach occur minor z pack alway take care infect prompt,9.0,Positive
Chronic Pain,medic gave life back deal chronic testicular pelvic pain sport injuri tore muscl pelvi radiat pain scrotum begin describ wonder ms contin work pain oxycontin mg twice day provid no relief also outrag expens pain doctor switch ms contin mg twice day godsend lifesav bring pain lower function throughout day work go place spend time friend afford no side effect even give lift,10.0,Positive
"Melanoma, Metastatic",melanoma approv trial b zelboraf due braf mutat pancreat adenocarcinoma unresect braf mutat scan show depreci size stay studi drug due effect sever nauseous still haav horribl ugli pain itchi rais skin lesion still get month drug incapacit bed titrat twice chang anyth immobil felt sever malais could bare get bed month later still recov effect take drug pull studi oncologist due toxic disappoint affect bad folfironox chemo pill bad realli,4.0,Negative
Depression,took celexa month mg daili treat depresson bipolar disord type notic signific chang mood discontinu due nausea lethargi difficulti achiev orgasm,2.0,Negative
Vaginal Yeast Infection,not buy know go use day never issu need recal stuff serious never much pain life thought would go hospit took long shower put desitin godsend powder took alev laid bed fan relief aw know chang formula not know never use,1.0,Negative
Bipolar Disorde,lamict effect not realiz symptom unabl afford went coupl month depress began emot eat increas difficulti make decis pay attent feel overwhelm fortun enough mean get back medicin function without make disabl manag,10.0,Positive
Anxiety,prescrib atarax take mg x daili need first day made groggi want sleep experi vivid dream nightmar day groggi went away actual help function high anxieti help calm still experi nightmar often like rather function daili keep take,7.0,Neutral
Uveitis,medicin keep go blind upset everi time read inform not suitabl pregnanc want get pregnant imposs taken medic without go blind look like never abl child,9.0,Positive
Irritable Bowel Syndrome,recent diagnos irrit bowel syndrom given belladonna phenabarbit well dexil acid reduc felt great first week howev gone downhil sever diarrhea headach lost lbs sinc take medicin concern medicin caus dexil seem caus diarrhea left wonder headach bad assist would great cannot function w headach noth counter touch,8.0,Positive
Birth Control,mood swing headach hair loss acn bad weight gain mirena four year remov feel great,1.0,Negative
"Diabetes, Type 2",wonder drug diabet near year metformin diet exercis work year later mg metformin morn twice even later ad mg gliclazid mani sugar low lost lbs number came fewer yeast infect drawback frequenc bathroom visit improv love drug,9.0,Positive
Osteoarthritis,use voltaren gel knee arthriti take pain pill take hour work work second fix pain time also help sore feet probabl plantar fasciati know not give earlier much effect oral nsaid even vicodin work faster much faster use less often recommend time day not need twice day reliev pain pronto also help wife osteoarthr pain,10.0,Positive
Restless Legs Syndrome,mirapex help,9.0,Positive
Birth Control,actual lost weight pill everi birth control pill made gain lot weight period short no side effect notic compar pill tri best recommend not get acn crazi mood swing anyth sort pill work beauti,10.0,Positive
Birth Control,realli love nexplanon zero worri sinc june not gotten period sinc also right put realli want lose weight manag lose pound no problem whatsoev complaint made skin oili not even funni entir life perfect skin acn forehead nexplanon realli depend import not get pregnant not get acn,8.0,Positive
Muscle Spasm,high recommend c pinch nerv affect left arm finger numb pain spine take mg soma xs daili norco xs day not take medicin xs day feel great rare add norco medicin godsend cannot live without no surgeri,10.0,Positive
Birth Control,first month use patch experienc cramp period week straight month normal period much ligther use still cramp first day advil help love week rememb replac patch two thing like patch tend slide around like bandaid annoy second feel made gain weight bloat not tri birth control still patch main help much period,7.0,Neutral
Anesthesia,know propofol not seem provid advertis effect got today rfa nerv block knee littl loopi essenti wide awak despit tell medic staff wide awak sever time continu procedur give propafol no dice tri low key compos medic treatment scream cri whole thing actual felt ablat happen horribl felt like pretti much ignor medic staff besid nurs guess thought rememb cours,1.0,Negative
Birth Control,last yasmin week year old mommi taken birth control two year without birth control period regular acn moder fit lover strict exercis nutrit keep weight check time ob prescrib yasmin treat ovul menstrual cramp moder pms pill turn someon els entir within first two week acn chin nose becam extrem moodi weepi depress anxious paranoid jealous anxieti made chest tight hard take deep breath time kept tell husband would go public felt like walk sort dream world realli weight gain spend day gym everi week eat healthi splurg small cheat meal weekend one week gain pound without chang anyth stomach stay hard bloat look look like pregnant top breast sore breakthrough bleed start week take cramp pms day side effect associ pill,1.0,Negative
High Cholesterol,sinc chang lipitor vytorin chloesterol went mt doctor increas dose happi drug no harm side effect,10.0,Positive
Anxiety,suffer terribl social anxieti past year year old start negat affect perform first job colleg felt necessari someth zoloft month prior sudden stop work put mg pristiq felt work immedi right took first pill went foggi state happen sinc first week sleep past first morn woke extrem nausea vomit pristiq week realli feel amaz work side effect disappear hope work well,9.0,Positive
Erectile Dysfunction,use ed drug year last year drug compani cloud jack price mg viagra tablet went look altern found revalto exact drug sildenifil citrat mg tablet talk dr wrote prescript cost take mg viagra took mg tablet first time tri work like magic past year found mg tablet work fine differ see work much faster minut adjust session accord cost cent,8.0,Positive
Birth Control,recent come yasmin due read increas risk blood clot howev number year ok experi posit no headach excruci migrain marvelon skin perfect occasion spot period similar like diannett howev bad side effect weight gain put rough half stone no matter shift tire time also zero sex drive recommend tri yasmin concern acn particular look come diannett howev say not perfect everyon react differ,7.0,Neutral
Pain,carpal tunnel syndrom night pain unbear appli prescript voltaren gel bring signific relief rub gel wrist palm finger,10.0,Positive
Birth Control,nuvar week must say wow differ last birth control tire ortho tricylen lo pill made within day start take cri daili feel hopeless even interf studi social life far no side effect nuvar minus occasion slight headach alreadi prone littl bit extra discharg also easili remedi problem pill would high recommend nuvar easi put feel not even strenuous exercis,10.0,Positive
ADHD,adderal amaz realli work never realli one take medicin even tylenol drug chang life old cranki accord wife,8.0,Positive
Depression,take mg effexor mg mirtazapin pm go sleep combin work well side effect realli bit dri mouth probabl exacerb smoke counteract other side effect dosag caus mg effexor mg mirtazapin insati appetit night time,10.0,Positive
Bowel Preparation,dont realli use laxat life felt bit constip took two pill thought not enough due size got realli bad cramp lot regret no laxat not worth pain way took hour pill kick way shorter interv time expect,6.0,Neutral
ADHD,drug prescrib ritilin work well medic help adhd side affect unbear cotton mouth irrit anxieti panic attack seem like con outweigh pros much success ritilin not enough doctor decid tri vyvans new version adderal less side effect better outcom treatment plus no crash dinner,7.0,Neutral
Chronic Pain,see doctor would get mg morn mg afternoon need mg night time took mg instant releas morphin three time day need better methadon no pain methadon no morphin would say give disket found liquid not hold long within hour back pain least pain toler,7.0,Neutral
Birth Control,skyla year glad decid go ahead insert alway extrem easi period start colleg start get bad leav bed morn miss class blood disord regular pill birth control option insert skyla pain howev never sex pain feel sick week insert went away eventu skyla gradual decreas period no longer see hard anyth underwear feel hard period effect skyla lifesav drastic improv wellb colleg,10.0,Positive
Birth Control,first time take birth control pill far love iud put last year taken within month consist bleed got rash bodi horribl cramp far side effect chateal yet read birth control took afraid even tri far good everyon bodi differ afraid tri even ask husband help track side effect may notic especi mood swing notic anyth either updat review start experi side effect,8.0,Positive
Major Depressive Disorde,medic help much tri prozac zoloft lexapro start medic felt much better day trintellix nice focus energi abl function work well fun kid great medic,10.0,Positive
Acute Coronary Syndrome,good,9.0,Positive
Menorrhagia,bleed almost week half time heavi mani clot half lighter less clot lysteda help two endometri biopsi sonohistogram result thick uterin line small fibroid told treatment c want tri medic first line treatment keep surgeri last resort told take tablet three time day second dose flow much lighter also anem caus wait long pursu medic ladi tri wait till terribl anem like also ib afraid take far good,8.0,Positive
"Diabetes, Type 2",blood sugar went first inject continu morn two hour meal felt full think sometim eat enough weight drop continu nd month two day felt hungri hope chang want progress weight loss next no side effect feel better sometim dizzi bend instanc think amaz drug feel sure get weight target,9.0,Positive
Irritable Bowel Syndrome,last drug seem help chronic constip mani year endometriosi year ago scar adhes caus degre strictur part bowel uk no cost medicin gastroenterologist tri mani medicin noth seem effect gabapentin effect lot left realli foggi brain week ago got prescrib linaclotid first day explos probabl time loo nd day mayb rd around week later mayb x day seem settl much less tire although rectum sore seem settl massiv relief,9.0,Positive
Insomnia,caus nightmar horribl nightmar still get hour two sleep sometim go night without sleep two three day sometim start take call sleep aid,2.0,Negative
Androgenetic Alopecia,drug danger post finasterid syndrom real destroy life along thousand other ar inhibitor need ban not safe period,1.0,Negative
ibromyalgia,start savella juli month bad hot flash hour day not decreas head ach sever constip never life dizzi memori loss irrat worst sever high blood pressur realiz savella went blood pressur come pain toller not take medic not weird found high blood pressur went differ doctor differ thing ask high blood pressur drove pcp immedi put medic high within stroke zone pleas check blood pressur,9.0,Positive
Birth Control,mirena caus sever cramp day week inflam cervix caus weight gain doc kept say adjust year got feel much better serious consid affect health,2.0,Negative
Acne,chang yaz contracept levlin made skin breakout made irrate emot skin clear month cystic acn alway got big patchi breakout skin smooth lot less emot lol also whole bunch medic epilepsi fact pill level emot pretti fantast experi muscl pain acn worsen side effect peopl mention guess depend person also notic given energi mean exceris time week instead also much healthier defin give yaz tri,10.0,Positive
Depression,dealt depress stem incid profess initi zoloft year work ok not much got zombifi point life anyway feel switch pristiq much better cut depress give blahe zombi feel ssris much side effect luckili notic take longer ejacul think wife sort like part sorri much info anyway pristiq great medicin notic peopl bad experi think expect antidepress keep tri find right one,9.0,Positive
Depression,help make feel better,10.0,Positive
Bacterial Skin Infection,doctor gave bactrim serious boil develop underarm medic work wonder boil better second day happi medic,8.0,Positive
Sinusitis,felt aw exhaust focus start kind hallucin worst experi eye pain start medic yesterday symptom not complet gone feel much better alreadi thank good doctor knew give,10.0,Positive
Cough,prescrib tessalon per follow e r visit bronchospasm bronchiti work well control cough howev caus g upset use day therefor stop take work well one problem caus anoth take mucinex today hope relief without spend much time bathroom thank,8.0,Positive
Insomnia,lunesta work well leav metal tast mouth,10.0,Positive
Depression,male lb take mg effexor xr mg remeron pm suicid depress general anxieti day take higher dose mg mg combin work wonder condit start remeron initi titrat mg day not feel work depress although help sleep appetit tri gabapentin abl quit remeron entir time want give receptor break gabapentin great anxieti made suicid quit gabapentin went back mg remeron time also ad effexor happi result seem first medic realli work signific side effect start effexor subsid complet week feel high much like mdma diarrhea insomnia increas mg con notic lower energi level yawn start drink coffe help serious medic take know hard withdraw howev commit stick eventu may increas dose mg effexor make feel mellow less concern peopl think quit confid ladi sex life better ever med combin wonder sens humor dull howev also somewhat lazi may chang go higher dose risk take behavior watch increas dose broke ankl play sport overal give medic happi got script recommend take remeron better manag nighttim counteract side effect wonder synergi concern may eventu stop work may eventu stop take suffer infam withdraw,9.0,Positive
Birth Control,tri nessa almost month time start new pack get bad stomach pain week everyth back normal sinc vomit twice anytim eat someth stomach feel empti even though ate lot period come time face clear problem bad stomach pain,6.0,Neutral
Constipation,honest stuff extrem effect make poop lot not sure worth aw pain stomach,4.0,Negative
Birth Control,switch pill sprintec caus weight gain develop sever cyst breast month take rate loestrin fe averag pros period come day not even clear acn back chest still break face normal con reshap whole bodi butt leg grew even bigger problem area gain lbs sprintec span month took lbs whole semest loestrin tri lose cannot lose weight plus gain back constant hungri time go gyno next week switch birth control use year,5.0,Neutral
Birth Control,made previous post right start avian month back review thing go spot sinc day tri live hope thing get better week realli wear mood normal noth ordinari except obvious frustrat regard constant bleed sex drive issu previous pill good say without pill breakout coupl huge pain zit seem go away never issu zit much not huge deal may slight bloat hungri pill noth major,4.0,Negative
Birth Control,first begin medic experienc nausea first month take medic year happi no problem acn bodi hair growth cramp breast tender either,9.0,Positive
Muscle Spasm,baclofen chang life cp suffer back surgeri spinal athriti pinch nerv neck lower back baclofen panadin fort day take mg tab per day baclofen no back spasm might take panadin fort week endep year compar wonder,10.0,Positive
Depression,made anxious first six week although realli appreci boost energi got day prescript xanax time realli work long ever take xanax btw anyway back previous self week kind miracl side effect occasion light head ness everi doctor talk wellbutrin love,10.0,Positive
ibromyalgia,switch savella cymbalta take less week current mg twice daili dose titrat pack medicin signific help pain not cloudi thought cymbalta good end everi night vivid terrifi nightmar life wake complet drench sweat hour sleep sometim wake entir bodi numb paralyz experi visual hallucin lost motiv daili activ spend day nap get tremor occasion involuntari muscl movement sever constip no appetit,2.0,Negative
Insomnia,medic realli work tri ambien lunesta silenor superior,10.0,Positive
Bacterial Infection,tire day medic prescrib tablet day day bv due excess spray tan miser feel high drug first coupl day bad tire entir time work hour week made though weekend one pill left take long eat enough take feel nauseous today notic red itchi bump arm leg read could side effect also notic hair loss normal hope side effect stop day pray take care bv go round,9.0,Positive
High Blood Pressure,start mg month ago lower bp not enough no notic side effect tomorrow go back dr see dosag,9.0,Positive
Vaginal Yeast Infection,took diflucan one dose monday night thursday still infect still itchi top canestin outer symptom go back chemist tri someth els wast,1.0,Negative
Herpes Zoste,even though acyclovir start day symptom start rash almost gone within day complet heal,9.0,Positive
Bacterial Infection,get reoccur bacteri vagin medic one work use tea tree oil suppositori mg boric acid suppositori possibl get yeast infect sensit boric acid suppositori thing work clear yeast infect bacteria caus bacteri vaginit held urethra man would awar reoccur infect partner mayb get treat also keep sugar intak low strengthen immun system gel expens seem sooth pill get well not ingest alcohol get violent ill forgot work function never,10.0,Positive
Emergency Contraception,sex last day period no condom finish complet insid took plan hour incid abdomin pain depress extrem tired kid not slept full day even weight limit crap surfac internet biggest load crap ever seen serious averag weight woman us pound math anyway experienc heavi spot week take pill day honest heavi enough short period period schedul start march th march th final start right time count number day sinc induc period plan b,10.0,Positive
Birth Control,first implanon got nexplanon period first month not one sinc due remov next year notic spot sometim day honest usual coincid stress weight gain also far best bc year plan tri babi next year back,9.0,Positive
Emergency Contraception,two week ago boyfriend sex realiz accident outcom insid condom torn anyth want extra reassur young becom pregnant morn drove cvs pick aftera sinc no plan b next best option took hour sex week half symptom includ dizzi nausea etc fast forward today start period almost week earli least know work symptom aftera pill not like better higher risk pregnanc take pill asap breath okay xx,10.0,Positive
Vaginal Yeast Infection,metrinidazol metrogel vari cream bacteri vaginosi noth control bv like acidophilli best brand found pectin capsul billion good bacteria bv no fun realli help,10.0,Positive
Depression,week mg alreadi feel cannot wait futur week thank god prozac,10.0,Positive
Birth Control,depo provera year work amaz never got period third shot never got pregnant love got bad side effect came along think bad birth control got everi side effect came unlucki bodi differ peopl friend got no side effect birth control note short term birth control tho think mani year someth differ would recommend birth control,7.0,Neutral
Eczema,user comment call clobex spray wonder drug worst eczema result skin hand finger cover open weep sore wear cotton glove constant clobex spray clear condit day main point review last time bought clobex cost bottl mean could rare afford use went differ dermatologist prescrib clobex suppli specif mail order pharmaci cost no insur coverag imagin name pharmaci pleas stuff work get dermatologist job find pharmaci actual afford buy,10.0,Positive
Birth Control,worst pill went around month made life live hell almost immedi experienc annoy imposs get rid weight gain went b cup dd cup depend time month also experienc serious bloat around stomach could not get rid around time also becam incred moodi month went got wors along moodi becam anxious depress found libido disappear complet ultim felt becom differ person complet decid toss remain pack weight mood went back normal libido took forev reappear still feel not,1.0,Negative
